date,total,free,in-use
2018-09-11 11:57:17,16,16,0
2018-09-11 12:05:01,16,16,0
2018-09-11 12:08:01,16,14,2
2018-09-11 12:10:01,16,16,0
2018-09-11 12:15:01,16,16,0
2018-09-11 12:20:01,16,16,0
2018-09-11 12:25:01,16,16,0
2018-09-11 12:30:01,16,15,1
2018-09-11 12:35:01,16,16,0
2018-09-11 12:40:01,16,16,0
2018-09-11 12:45:01,16,16,0
2018-09-11 12:50:01,16,16,0
2018-09-11 12:55:01,16,16,0
2018-09-11 13:00:01,16,16,0
2018-09-11 13:05:01,16,16,0
2018-09-11 13:10:01,16,16,0
2018-09-11 13:15:01,16,16,0
2018-09-11 13:20:01,16,16,0
2018-09-11 13:25:01,16,16,0
2018-09-11 13:30:01,16,16,0
2018-09-11 13:35:01,16,16,0
2018-09-11 13:40:01,16,16,0
2018-09-11 13:45:01,16,16,0
2018-09-11 13:50:01,16,16,0
2018-09-11 13:55:01,16,16,0
2018-09-11 14:00:01,16,16,0
2018-09-11 14:05:01,16,16,0
2018-09-11 14:10:01,16,16,0
2018-09-11 14:15:01,16,16,0
2018-09-11 14:20:01,16,16,0
2018-09-11 14:25:01,16,16,0
2018-09-11 14:30:01,16,16,0
2018-09-11 14:35:01,16,16,0
2018-09-11 14:40:01,16,16,0
2018-09-11 14:45:01,16,16,0
2018-09-11 14:50:01,16,16,0
2018-09-11 14:55:01,16,16,0
2018-09-11 15:29:14,16,12,4
2018-09-11 15:30:02,16,11,5
2018-09-11 15:35:01,16,16,0
2018-09-11 15:40:01,16,16,0
2018-09-11 15:45:01,16,16,0
2018-09-11 15:50:01,16,16,0
2018-09-11 15:55:01,16,16,0
2018-09-11 16:00:01,16,16,0
2018-09-11 16:05:01,16,16,0
2018-09-11 16:10:01,16,16,0
2018-09-11 16:15:01,16,16,0
2018-09-11 16:20:01,16,16,0
2018-09-11 16:25:01,16,16,0
2018-09-11 16:30:01,16,16,0
2018-09-11 16:35:01,16,16,0
2018-09-11 16:40:01,16,16,0
2018-09-11 16:45:01,16,16,0
2018-09-11 16:50:01,16,16,0
2018-09-11 16:55:01,16,16,0
2018-09-11 17:00:01,16,16,0
2018-09-11 17:05:01,16,16,0
2018-09-11 17:10:01,16,16,0
2018-09-11 17:15:01,16,16,0
2018-09-11 17:20:01,16,16,0
2018-09-11 17:25:01,16,16,0
2018-09-11 17:30:01,16,16,0
2018-09-11 17:35:01,16,16,0
2018-09-11 17:40:01,16,16,0
2018-09-11 17:45:01,16,16,0
2018-09-11 17:50:01,16,16,0
2018-09-11 17:55:01,16,16,0
2018-09-11 18:00:01,16,16,0
2018-09-11 18:05:01,16,16,0
2018-09-11 18:10:01,16,16,0
2018-09-11 18:15:01,16,16,0
2018-09-11 18:20:01,16,16,0
2018-09-11 18:25:01,16,16,0
2018-09-11 18:30:01,16,16,0
2018-09-11 18:35:01,16,16,0
2018-09-11 18:40:01,16,16,0
2018-09-11 18:45:01,16,16,0
2018-09-11 18:50:01,16,16,0
2018-09-11 18:55:01,16,16,0
2018-09-11 19:00:01,16,16,0
2018-09-11 19:05:01,16,16,0
2018-09-11 19:10:01,16,16,0
2018-09-11 19:15:01,16,16,0
2018-09-11 19:20:01,16,16,0
2018-09-11 19:25:01,16,16,0
2018-09-11 19:30:01,16,16,0
2018-09-11 19:35:01,16,16,0
2018-09-11 19:40:01,16,16,0
2018-09-11 19:45:01,16,16,0
2018-09-11 19:50:01,16,16,0
2018-09-11 19:55:01,16,16,0
2018-09-11 20:00:01,16,16,0
2018-09-11 20:05:01,16,16,0
2018-09-11 20:10:01,16,16,0
2018-09-11 20:15:01,16,16,0
2018-09-11 20:20:02,16,16,0
2018-09-11 20:25:01,16,16,0
2018-09-11 20:30:01,16,16,0
2018-09-11 20:35:01,16,16,0
2018-09-11 20:40:01,16,16,0
2018-09-11 20:45:01,16,16,0
2018-09-11 20:50:01,16,16,0
2018-09-11 20:55:01,16,16,0
2018-09-11 21:00:01,16,16,0
2018-09-11 21:05:01,16,16,0
2018-09-11 21:10:01,16,16,0
2018-09-11 21:15:01,16,16,0
2018-09-11 21:20:01,16,16,0
2018-09-11 21:25:01,16,16,0
2018-09-11 21:30:01,16,16,0
2018-09-11 21:35:01,16,16,0
2018-09-11 21:40:01,16,16,0
2018-09-11 21:45:01,16,16,0
2018-09-11 21:50:01,16,16,0
2018-09-11 21:55:01,16,16,0
2018-09-11 22:00:01,16,16,0
2018-09-11 22:05:01,16,16,0
2018-09-11 22:10:01,16,16,0
2018-09-11 22:15:01,16,16,0
2018-09-11 22:20:01,16,16,0
2018-09-11 22:25:01,16,16,0
2018-09-11 22:30:01,16,16,0
2018-09-11 22:35:01,16,16,0
2018-09-11 22:40:01,16,16,0
2018-09-11 22:45:01,16,16,0
2018-09-11 22:50:01,16,16,0
2018-09-11 22:55:01,16,16,0
2018-09-11 23:00:02,16,16,0
2018-09-11 23:05:01,16,16,0
2018-09-11 23:10:01,16,16,0
2018-09-11 23:15:01,16,16,0
2018-09-11 23:20:01,16,16,0
2018-09-11 23:25:01,16,16,0
2018-09-11 23:30:01,16,16,0
2018-09-11 23:35:01,16,16,0
2018-09-11 23:40:01,16,16,0
2018-09-11 23:45:01,16,16,0
2018-09-11 23:50:01,16,16,0
2018-09-11 23:55:01,16,16,0
2018-09-12 00:00:01,16,16,0
2018-09-12 00:05:01,16,16,0
2018-09-12 00:10:01,16,16,0
2018-09-12 00:15:01,16,16,0
2018-09-12 00:20:01,16,16,0
2018-09-12 00:25:01,16,16,0
2018-09-12 00:30:01,16,16,0
2018-09-12 00:35:01,16,16,0
2018-09-12 00:40:01,16,16,0
2018-09-12 00:45:01,16,16,0
2018-09-12 00:50:01,16,16,0
2018-09-12 00:55:01,16,16,0
2018-09-12 01:00:01,16,16,0
2018-09-12 01:05:01,16,16,0
2018-09-12 01:10:01,16,16,0
2018-09-12 01:15:01,16,16,0
2018-09-12 01:20:01,16,16,0
2018-09-12 01:25:01,16,16,0
2018-09-12 01:30:01,16,16,0
2018-09-12 01:35:01,16,16,0
2018-09-12 01:40:01,16,16,0
2018-09-12 01:45:01,16,16,0
